gene,n_sig,n_tested,median_padj
CEP250,9,38,0.9478145175381198
SEC14L2,9,38,0.9724800518092982
ANLN,9,38,1
BOLA3,9,38,1
CD3D,9,38,1
FAM213B,9,38,1
IL10RA,9,38,1
INPP4B,9,38,1
JAG2,9,38,1
LTB4R,9,38,1
LUC7L,9,38,1
MICAL1,9,38,1
NRP1,9,38,1
OASL,9,38,1
PILRA,9,38,1
PLIN2,9,38,1
PLLP,9,38,1
PROSER1,9,38,1
RABGAP1L,9,38,1
TIGD5,9,38,1
TNFRSF4,9,38,1
TTC31,9,38,1
VCAM1,9,38,1
CCL2,8,38,0.45697099432134125
MAPKAPK5,8,38,0.5351799250373173
SDHB,8,38,0.5559097007789999
MICALL2,8,38,0.5743959120306952
KCTD10,8,38,0.584165461390227
ATG12,8,38,0.5926464897105497
CYP27A1,8,38,0.613042031422362
LRWD1,8,38,0.7053935296403409
PNP,8,38,0.7145624649942821
SLC2A8,8,38,0.7530638482430585
EXOSC1,8,38,0.7926423520530725
TAX1BP1,8,38,0.8090559157335724
TBCA,8,38,0.830551258314288
PIH1D1,8,38,0.8348313713382913
UBE2W,8,38,0.8989412087118446
CHD1,8,38,0.9141615114477626
PNISR,8,38,0.9182300917232913
FNBP4,8,38,0.9279018321632502
PRPSAP1,8,38,0.9460018380597848
NEK7,8,38,0.9642537010787284
PTPRC,8,38,0.9750269620961574
ANO10,8,38,1
ARHGEF3,8,38,1
ASL,8,38,1
BICDL1,8,38,1
C10orf10,8,38,1
C19orf52,8,38,1
CCDC88B,8,38,1
CES2,8,38,1
CHCHD6,8,38,1
CHD6,8,38,1
CIR1,8,38,1
DDAH1,8,38,1
GBP3,8,38,1
ILKAP,8,38,1
INPP5J,8,38,1
ITSN1,8,38,1
LANCL1,8,38,1
LCK,8,38,1
MAPK9,8,38,1
MEN1,8,38,1
MPND,8,38,1
MRPS22,8,38,1
MX2,8,38,1
OGFRL1,8,38,1
PTTG1,8,38,1
RASA2,8,38,1
SLC4A5,8,38,1
SLPI,8,38,1
SNTA1,8,38,1
STAT5A,8,38,1
SYK,8,38,1
TEX10,8,38,1
THOC5,8,38,1
TMEM101,8,38,1
TRIM22,8,38,1
TTI1,8,38,1
VPS45,8,38,1
ZNF337,8,38,1
SLC8B1,7,38,0.35236165528218255
RNF135,7,38,0.4884675179000107
MFSD7,7,38,0.7210918713188981
PSTPIP1,7,38,0.7293888224196339
PODXL,7,38,0.7575804952319147
SIGLEC1,7,38,0.7579846362378825
TEX2,7,38,0.7664039541725733
FAIM2,7,38,0.7669217840364435
CORO2A,7,38,0.777290056140485
WDFY3,7,38,0.7802187923294406
DLG1,7,38,0.7882199464863385
STRN3,7,38,0.7901370020771281
ZNF33B,7,38,0.8045622013557351
TRIM47,7,38,0.8198793885516492
MTMR12,7,38,0.829970720888739
CTU2,7,38,0.8518203919564592
PLEKHO2,7,38,0.8682404552453012
KIAA0895L,7,38,0.8980322956399054
SMYD2,7,38,0.9627939164300789
RECQL5,7,38,0.9847387012142432
CCNE1,7,38,0.9919439828142237
ANKRD12,7,38,1
ANKRD28,7,38,1
APBB2,7,38,1
APOBEC3G,7,38,1
ARF5,7,37,1
ARFGEF2,7,38,1
ASNS,7,38,1
C6orf136,7,38,1
CEP55,7,38,1
CHST11,7,38,1
COL8A2,7,38,1
CSF1,7,38,1
DENND1A,7,38,1
EBAG9,7,38,1
EXOSC2,7,38,1
FAM160B1,7,38,1
FAM45A,7,38,1
GBP2,7,38,1
GBP4,7,38,1
HSPB11,7,38,1
INAFM1,7,38,1
KATNA1,7,38,1
KCNAB2,7,38,1
KIAA1468,7,38,1
KRT86,7,38,1
LYL1,7,38,1
MAGOHB,7,38,1
MFSD3,7,38,1
MYO1G,7,38,1
NAT1,7,37,1
NUF2,7,38,1
OPTN,7,38,1
PAF1,7,38,1
PARN,7,38,1
PER1,7,38,1
PLSCR1,7,38,1
PSCA,7,38,1
PTPRJ,7,38,1
RAP1B,7,38,1
RBL1,7,38,1
RECQL4,7,38,1
RGS1,7,38,1
SMCHD1,7,38,1
SNAPC3,7,38,1
STAMBP,7,38,1
TACC3,7,38,1
TBXAS1,7,38,1
TCEA2,7,38,1
TGFBR2,7,38,1
TRAF5,7,38,1
ZNF771,7,38,1
ZNF83,7,38,1
LIMCH1,6,38,0.6228226204861715
AKAP9,6,38,0.798733967728861
NTMT1,6,38,0.9715165154428794
RND3,6,38,0.9750269620961574
CCL21,6,38,0.9782232030261611
CDH3,6,38,0.9944397876544798
ABCA7,6,38,1
ARHGAP5,6,38,1
ARHGEF40,6,38,1
ARID3A,6,38,1
ARID4A,6,38,1
ATAD1,6,38,1
ATG16L2,6,38,1
ATL2,6,38,1
BCL2,6,38,1
CDK5RAP1,6,38,1
CFDP1,6,38,1
GBP5,6,38,1
GRK3,6,38,1
HLA-DOA,6,38,1
KAT6B,6,38,1
KIAA1715,6,38,1
LARP1B,6,38,1
LARP7,6,38,1
MAP3K6,6,38,1
MAP4K2,6,38,1
MAPT,6,36,1
MED13L,6,38,1
MELK,6,37,1
MIB2,6,38,1
NCKAP1L,6,38,1
OSBPL8,6,38,1
P4HA2,6,38,1
PEX14,6,38,1
PGR,6,34,1
PHF11,6,38,1
PHF13,6,38,1
RAB3A,6,38,1
RARS2,6,38,1
RASGRP2,6,38,1
RMND1,6,38,1
SEC23A,6,38,1
SEMA3B,6,38,1
SLC43A1,6,38,1
STK4,6,38,1
VAV1,6,38,1
CUTC,5,38,0.9617819059444606
KMT2E,5,38,0.9750542070619049
AAMDC,5,38,1
ARHGEF10L,5,38,1
ARID5B,5,38,1
CBLC,5,38,1
CROCC,5,38,1
EIF1AD,5,38,1
FAM118A,5,38,1
FAP,5,38,1
GEMIN4,5,38,1
HDAC6,5,38,1
KLF9,5,38,1
KRT14,5,24,1
MAP3K14,5,38,1
METTL16,5,38,1
NDC80,5,37,1
PHF21A,5,38,1
PKNOX1,5,38,1
RALBP1,5,38,1
SCNN1D,5,38,1
SOS2,5,38,1
SRPX2,5,38,1
SYDE1,5,38,1
TDRD3,5,38,1
THOC6,5,38,1
TSR2,5,38,1
XIAP,5,38,1
ZNF362,5,38,1
ZNF592,5,38,1
ABHD14A,4,38,1
ABHD4,4,38,1
ADCY3,4,38,1
ANGPTL4,4,38,1
BAIAP3,4,38,1
CDH11,4,38,1
CFAP36,4,38,1
DPH3,4,38,1
ECHDC2,4,38,1
EXO1,4,37,1
IDUA,4,38,1
IFI27L1,4,38,1
KIAA1211L,4,38,1
KIF13B,4,38,1
LINGO1,4,37,1
LLGL1,4,38,1
LMF1,4,38,1
PDGFRA,4,38,1
PTRH1,4,38,1
RALGAPA2,4,38,1
RAMP2,4,38,1
RIOK1,4,38,1
RNF170,4,38,1
SASH1,4,38,1
SLC9A8,4,38,1
SLFN13,4,38,1
SUGP1,4,38,1
TNFRSF21,4,38,1
TSPAN33,4,38,1
ZNF91,4,38,1
ATF6B,3,38,0.6301126439668003
EXD3,3,38,0.6944755405619336
AGAP2,3,38,1
AP5B1,3,38,1
BRPF1,3,38,1
C15orf61,3,38,1
CCDC80,3,38,1
FBF1,3,38,1
HSD17B1,3,38,1
MYH10,3,38,1
NXN,3,38,1
ORC2,3,38,1
PUS3,3,38,1
SFRP1,3,33,1
SVIL,3,38,1
ACTR3B,2,38,1
C1orf216,2,38,1
ELN,2,38,1
HPS6,2,38,1
NCKAP5L,2,38,1
PEX11G,2,38,1
ZNF791,2,38,1
ACER3,1,38,1
ARHGAP10,1,38,1
AVEN,1,38,1
COL14A1,1,38,1
PLAC9,1,38,1
RAB3IL1,1,38,1
EGFR,0,38,1
FOXC1,0,38,1
HOOK3,0,38,1
KRT5,0,32,1
MAGI1,0,38,1
MIA,0,23,1
PODNL1,0,38,1
SLC16A2,0,38,1
