fold,unit,n_spots,gene_pcc_mean,gene_pcc_median,frac_positive,spot_pcc_median,sse_ratio_vs_mean
fold00_A,fold00_A,2065,0.026642592615200016,0.02510981075465679,0.7466986794717887,0.3676069378852844,1.435571
fold01_B,fold01_B,1712,0.12081535491144278,0.1372765600681305,0.8103241296518607,0.4364390969276428,1.132194
fold02_C,fold02_C,1086,0.09274789224232685,0.09028935059905052,0.8967587034813925,0.6198423504829407,1.3084179
fold03_D,fold03_D,1833,0.09870734804286929,0.08806689828634262,0.9315726290516206,0.5962316989898682,1.2447336
fold04_E,fold04_E,1729,-0.0070452591828857394,-0.006871120538562536,0.4129651860744298,0.5646798014640808,1.7088032
fold05_F,fold05_F,2098,0.0005279848934360864,-0.001278991112485528,0.48259303721488594,0.5489718914031982,1.1999947
fold06_G,fold06_G,1371,0.10106667541336416,0.09687164425849915,0.9255702280912365,0.4931163191795349,1.1589918
fold07_H,fold07_H,1726,0.10254058115932552,0.10688494890928268,0.9003601440576231,0.4717292785644531,1.360507
