gene,arm1_colour_colour,arm2_colour_gray,arm3_gray_gray,delta_arm3_arm1,delta_arm2_arm1
CALML5,0.089155,0.034820,0.045329,-0.043826,-0.054335
CAMTA2,0.376440,0.340372,0.374222,-0.002218,-0.036068
CAPG,0.440037,0.382019,0.429882,-0.010155,-0.058018
CARS2,0.425475,0.393800,0.423058,-0.002416,-0.031674
CBLC,0.026970,0.029660,0.026248,-0.000723,0.002689
CCDC106,0.408601,0.370321,0.412271,0.003670,-0.038280
CCDC167,0.377810,0.353460,0.370297,-0.007514,-0.024350
CCDC57,0.266085,0.222871,0.250706,-0.015379,-0.043214
CCDC80,0.140405,0.087272,0.136835,-0.003570,-0.053133
CCDC88B,0.267255,0.198562,0.278689,0.011434,-0.068693
CCL19,0.224288,0.194461,0.239407,0.015120,-0.029827
CCL2,0.529917,0.468612,0.512481,-0.017436,-0.061305
CCL21,0.120927,0.118706,0.093624,-0.027303,-0.002221
CCM2,0.462643,0.436413,0.462262,-0.000381,-0.026230
CCNB1,0.481133,0.439163,0.481025,-0.000108,-0.041970
CCNB1IP1,0.297636,0.285913,0.291468,-0.006168,-0.011723
CCNE1,0.271776,0.250259,0.293206,0.021430,-0.021517
CCNE2,0.440972,0.412815,0.425444,-0.015528,-0.028158
CCS,0.417566,0.380327,0.417945,0.000380,-0.037239
CCT4,0.638840,0.573311,0.638019,-0.000821,-0.065529
CD14,0.443949,0.404157,0.445253,0.001303,-0.039793
CD320,0.316258,0.277650,0.328064,0.011806,-0.038608
CD3D,0.404855,0.367483,0.405637,0.000781,-0.037372
CD4,0.350998,0.320640,0.346979,-0.004019,-0.030358
CD52,0.415102,0.394772,0.426918,0.011817,-0.020329
CD68,0.465711,0.423331,0.464820,-0.000891,-0.042380
CD74,0.299220,0.227238,0.300983,0.001764,-0.071981
CD79A,0.335223,0.250851,0.355617,0.020394,-0.084371
CDC20,0.512179,0.457904,0.511141,-0.001038,-0.054275
CDC6,0.363241,0.323055,0.368136,0.004896,-0.040186
CDH11,0.124352,0.124032,0.132895,0.008543,-0.000320
CDH3,0.206420,0.173228,0.204393,-0.002027,-0.033192
CDK5RAP1,0.323963,0.301913,0.301949,-0.022015,-0.022051
CENPF,0.437514,0.389399,0.425457,-0.012057,-0.048115
CEP250,0.270423,0.252964,0.252478,-0.017945,-0.017459
CEP55,0.373769,0.345387,0.377936,0.004166,-0.028382
CERCAM,0.245836,0.220322,0.234909,-0.010927,-0.025514
CERS5,0.306460,0.275637,0.312155,0.005695,-0.030823
CES2,0.280369,0.224017,0.269520,-0.010849,-0.056352
CFAP36,0.306974,0.253177,0.308579,0.001605,-0.053797
CFDP1,0.470168,0.425952,0.455697,-0.014470,-0.044216
CGGBP1,0.462108,0.403100,0.459095,-0.003013,-0.059008
CHCHD6,0.255153,0.254569,0.257834,0.002681,-0.000585
CHD1,0.399538,0.357924,0.387942,-0.011596,-0.041614
CHD6,0.382584,0.338031,0.365073,-0.017511,-0.044554
CHFR,0.406804,0.362497,0.422688,0.015884,-0.044307
CHST11,0.358815,0.313180,0.352105,-0.006709,-0.045634
CIR1,0.246693,0.210987,0.248946,0.002252,-0.035706
CLASRP,0.407670,0.341435,0.401739,-0.005931,-0.066235
CLDN3,0.415804,0.379179,0.410754,-0.005050,-0.036625
CLDN4,0.556665,0.485425,0.546316,-0.010349,-0.071240
CLU,0.292224,0.211758,0.282879,-0.009345,-0.080466
CNN2,0.461618,0.396818,0.449023,-0.012595,-0.064800
COL14A1,0.038944,0.036150,0.015822,-0.023122,-0.002795
COL3A1,0.482310,0.440351,0.483825,0.001515,-0.041959
COL4A1,0.527982,0.474207,0.538342,0.010359,-0.053776
COL6A2,0.380987,0.333220,0.377654,-0.003333,-0.047767
COL8A2,0.214004,0.170354,0.196032,-0.017972,-0.043650
COMMD1,0.418680,0.402635,0.397212,-0.021468,-0.016045
COMP,0.338001,0.279950,0.324757,-0.013243,-0.058051
COPS7A,0.524956,0.483698,0.511463,-0.013493,-0.041258
COQ4,0.439071,0.405034,0.428473,-0.010599,-0.034037
CORO1A,0.322832,0.288503,0.319985,-0.002847,-0.034329
CORO1B,0.415536,0.396830,0.413209,-0.002326,-0.018706
CORO2A,0.259564,0.226559,0.244199,-0.015364,-0.033005
CORO7,0.442233,0.413298,0.436782,-0.005451,-0.028935
COX5A,0.545556,0.481200,0.545687,0.000130,-0.064356
CPNE1,0.528681,0.478819,0.518658,-0.010023,-0.049862
CPSF1,0.350556,0.309882,0.324411,-0.026144,-0.040674
CPVL,0.466480,0.426147,0.473126,0.006646,-0.040333
CRABP2,0.524749,0.458973,0.507589,-0.017160,-0.065776
CRACR2B,0.508491,0.444949,0.500282,-0.008209,-0.063541
CRELD2,0.517934,0.453843,0.520313,0.002380,-0.064091
CROCC,0.243205,0.232903,0.247422,0.004217,-0.010301
CSF1,0.409665,0.358516,0.409267,-0.000398,-0.051149
CSF1R,0.415823,0.371772,0.436771,0.020948,-0.044051
CTDSPL,0.363268,0.340208,0.366425,0.003157,-0.023060
CTIF,0.442070,0.399864,0.435727,-0.006344,-0.042207
CTSK,0.362718,0.317284,0.380401,0.017682,-0.045435
CTU2,0.214355,0.192521,0.219854,0.005499,-0.021834
CUTC,0.343864,0.320144,0.331519,-0.012345,-0.023720
CUX1,0.475600,0.438793,0.484356,0.008756,-0.036808
CX3CL1,0.324034,0.223859,0.302222,-0.021812,-0.100176
CXCL10,0.580418,0.511455,0.579913,-0.000504,-0.068962
CXXC5,0.388754,0.368671,0.385364,-0.003390,-0.020083
CYP27A1,0.217583,0.180887,0.224892,0.007309,-0.036696
DAPK3,0.396935,0.356929,0.399633,0.002698,-0.040006
DCAF6,0.476931,0.438750,0.482615,0.005684,-0.038181
DCXR,0.421989,0.371954,0.413685,-0.008304,-0.050035
DDAH1,0.414669,0.380598,0.411561,-0.003108,-0.034071
DDB2,0.296054,0.283352,0.296863,0.000809,-0.012702
DDIT3,0.319852,0.296625,0.315170,-0.004681,-0.023226
DDRGK1,0.385533,0.353848,0.358146,-0.027388,-0.031686
DDT,0.447271,0.414006,0.436023,-0.011248,-0.033265
DEAF1,0.286565,0.261594,0.285108,-0.001457,-0.024971
DENND1A,0.235440,0.220752,0.218417,-0.017023,-0.014688
DERL3,0.224136,0.208541,0.211510,-0.012626,-0.015594
DESI1,0.455424,0.421802,0.459570,0.004146,-0.033622
DHX16,0.363609,0.319531,0.361238,-0.002371,-0.044078
DLG1,0.264574,0.246301,0.254729,-0.009845,-0.018273
DMAP1,0.304877,0.294033,0.320762,0.015886,-0.010843
DNAJB2,0.381655,0.369955,0.381373,-0.000282,-0.011700
DNAJC1,0.524520,0.483007,0.511546,-0.012975,-0.041513
DNAJC7,0.375216,0.306366,0.363960,-0.011256,-0.068850
DOCK6,0.415297,0.372747,0.402804,-0.012493,-0.042550
DPH3,0.313959,0.261125,0.313865,-0.000094,-0.052835
DPM2,0.413331,0.397729,0.415254,0.001923,-0.015601
DPP7,0.379799,0.350173,0.371941,-0.007859,-0.029627
DPP9,0.374505,0.348375,0.373650,-0.000855,-0.026129
DPYSL3,0.348827,0.308949,0.347245,-0.001583,-0.039878
DVL1,0.412417,0.364854,0.410896,-0.001521,-0.047564
EBAG9,0.296468,0.272962,0.274291,-0.022178,-0.023506
ECHDC2,0.180808,0.090722,0.117838,-0.062970,-0.090086
ECM1,0.331906,0.315630,0.326606,-0.005299,-0.016276
EFEMP2,0.240094,0.216846,0.244091,0.003996,-0.023249
EFHD2,0.382024,0.340209,0.394096,0.012072,-0.041815
EGFR,0.054653,-0.008844,0.063701,0.009048,-0.063497
EIF1AD,0.270348,0.249423,0.258548,-0.011800,-0.020925
EIF3B,0.434887,0.395665,0.417552,-0.017335,-0.039222
EIF3F,0.374007,0.327430,0.361841,-0.012166,-0.046577
EIF3G,0.352514,0.319933,0.345891,-0.006623,-0.032581
ELN,0.097125,0.053375,0.065068,-0.032056,-0.043749
ELOF1,0.386999,0.357995,0.378970,-0.008029,-0.029005
EMC3,0.385245,0.358855,0.395321,0.010076,-0.026390
ENPP1,0.521168,0.484466,0.520357,-0.000811,-0.036702
EPHB3,0.353443,0.309564,0.362413,0.008970,-0.043879
ERAL1,0.340912,0.320306,0.348394,0.007482,-0.020607
ERBB2,0.350275,0.312637,0.347408,-0.002867,-0.037638
ERI3,0.422198,0.381942,0.424639,0.002441,-0.040256
ERMP1,0.469963,0.431296,0.478298,0.008335,-0.038667
ESR1,0.596897,0.544798,0.598356,0.001460,-0.052098
ETFB,0.376033,0.344995,0.358128,-0.017905,-0.031039
EVA1B,0.317075,0.276968,0.322063,0.004989,-0.040107
EXD3,0.200100,0.154653,0.193389,-0.006712,-0.045447
EXO1,0.303701,0.253692,0.280978,-0.022723,-0.050009
EXOC5,0.491922,0.433868,0.506412,0.014490,-0.058053
EXOSC1,0.397801,0.379216,0.392932,-0.004869,-0.018584
EXOSC10,0.421818,0.401621,0.415086,-0.006733,-0.020197
EXOSC2,0.349983,0.313028,0.358831,0.008847,-0.036956
EZH2,0.546890,0.484503,0.538054,-0.008836,-0.062387
FAAH,0.429256,0.370261,0.417670,-0.011587,-0.058996
FADS2,0.444088,0.409418,0.438017,-0.006071,-0.034670
FAH,0.392157,0.373351,0.378709,-0.013447,-0.018806
FAIM2,0.308168,0.267505,0.304256,-0.003912,-0.040662
FAM102A,0.576242,0.529471,0.570253,-0.005989,-0.046771
FAM117A,0.543309,0.487492,0.537196,-0.006114,-0.055818
FAM118A,0.306442,0.265877,0.301323,-0.005120,-0.040566
FAM160B1,0.295177,0.264390,0.288664,-0.006513,-0.030787
FAM173A,0.462076,0.424012,0.455686,-0.006390,-0.038065
FAM193B,0.510739,0.442952,0.496576,-0.014163,-0.067788
FAM213B,0.423034,0.370430,0.435720,0.012687,-0.052603
FAM3A,0.351172,0.313566,0.352564,0.001392,-0.037606
FAM45A,0.323885,0.297128,0.312130,-0.011755,-0.026757
FAP,0.264353,0.223767,0.257958,-0.006395,-0.040586
FARP1,0.526839,0.463924,0.514824,-0.012015,-0.062915
FARSB,0.458469,0.408085,0.454717,-0.003752,-0.050384
FASN,0.490056,0.457948,0.491244,0.001188,-0.032108
FBF1,0.279647,0.264232,0.277609,-0.002037,-0.015415
FBLN2,0.341344,0.302663,0.349157,0.007813,-0.038681
FCER1G,0.473796,0.429291,0.488261,0.014465,-0.044505
FDPS,0.438490,0.414394,0.442185,0.003694,-0.024096
FGFR1,0.258083,0.247434,0.244416,-0.013667,-0.010649
FGFR4,0.356018,0.318174,0.360064,0.004047,-0.037843
FKBP10,0.224390,0.184532,0.221993,-0.002397,-0.039858
FKBP8,0.434458,0.398363,0.424587,-0.009871,-0.036095
FLNA,0.305540,0.254344,0.301640,-0.003900,-0.051196
FN1,0.622395,0.552783,0.619020,-0.003375,-0.069612
FNBP4,0.366553,0.331461,0.360797,-0.005756,-0.035092
FOXA1,0.612943,0.556049,0.608344,-0.004599,-0.056894
FOXC1,0.066949,0.005612,0.083310,0.016362,-0.061337
FOXP4,0.436060,0.400985,0.433093,-0.002967,-0.035075
FSTL1,0.373915,0.318027,0.371223,-0.002692,-0.055888
FSTL3,0.339593,0.309626,0.339482,-0.000111,-0.029967
FUOM,0.284291,0.248335,0.279395,-0.004897,-0.035956
FUS,0.465135,0.422120,0.466062,0.000927,-0.043014
FZD2,0.238552,0.180180,0.224981,-0.013571,-0.058372
GALK1,0.207444,0.142723,0.165320,-0.042124,-0.064720
GANAB,0.451509,0.402033,0.452028,0.000519,-0.049476
GAR1,0.459674,0.412768,0.444372,-0.015302,-0.046907
GAS6,0.372765,0.313904,0.354049,-0.018715,-0.058861
GATA3,0.435934,0.401456,0.437630,0.001696,-0.034478
GATC,0.515880,0.454035,0.514180,-0.001700,-0.061844
GBP1,0.516270,0.453071,0.526803,0.010533,-0.063199
GBP2,0.456564,0.404194,0.456672,0.000109,-0.052370
GBP3,0.570301,0.510508,0.555573,-0.014728,-0.059793
GBP4,0.466134,0.421015,0.468533,0.002399,-0.045118
GBP5,0.495142,0.429884,0.494571,-0.000572,-0.065258
GEMIN4,0.283548,0.247454,0.265394,-0.018154,-0.036094
GLCCI1,0.378634,0.343939,0.373577,-0.005056,-0.034695
GLG1,0.318796,0.253611,0.302388,-0.016408,-0.065185
GLTSCR2,0.307631,0.226455,0.291908,-0.015723,-0.081176
GMFG,0.351459,0.315830,0.364533,0.013074,-0.035629
GMPPA,0.446548,0.400179,0.441763,-0.004785,-0.046369
GNAI2,0.311493,0.282867,0.308615,-0.002878,-0.028627
GNAS,0.527418,0.470756,0.515096,-0.012322,-0.056662
GNL2,0.494298,0.452934,0.492358,-0.001940,-0.041364
GPR108,0.327436,0.308330,0.334916,0.007480,-0.019105
GPR160,0.512569,0.454666,0.514838,0.002269,-0.057902
GPRC5A,0.587640,0.535287,0.585227,-0.002412,-0.052352
GPS1,0.337056,0.308834,0.338259,0.001203,-0.028222
GPSM1,0.282707,0.264306,0.289921,0.007213,-0.018401
GPX3,0.155712,0.149492,0.146981,-0.008732,-0.006220
GRB7,0.520728,0.464414,0.511139,-0.009589,-0.056314
GRK3,0.397923,0.368737,0.388048,-0.009875,-0.029186
GSK3A,0.439354,0.363775,0.421805,-0.017549,-0.075578
GSTM3,0.437306,0.402709,0.432573,-0.004733,-0.034597
GYPC,0.290091,0.242158,0.307779,0.017688,-0.047933
HAGHL,0.525299,0.468482,0.523581,-0.001718,-0.056817
HCFC1R1,0.453402,0.418969,0.445741,-0.007661,-0.034433
HCST,0.372255,0.339260,0.381615,0.009359,-0.032995
HDAC5,0.285008,0.231030,0.286523,0.001515,-0.053979
HDAC6,0.263071,0.248665,0.236373,-0.026698,-0.014406
HELZ2,0.427783,0.379336,0.423315,-0.004468,-0.048447
HES1,0.178756,0.181078,0.192914,0.014159,0.002322
HLA-B,0.378280,0.337523,0.410026,0.031745,-0.040757
HLA-DMA,0.382672,0.318491,0.382277,-0.000395,-0.064181
HLA-DMB,0.501517,0.445971,0.500543,-0.000974,-0.055545
HLA-DOA,0.399414,0.353349,0.407088,0.007674,-0.046065
HLA-DPA1,0.471547,0.435000,0.477803,0.006256,-0.036547
HLA-DPB1,0.530117,0.469221,0.543316,0.013199,-0.060896
HLA-DRA,0.531069,0.439738,0.524296,-0.006773,-0.091331
HLA-DRB1,0.502668,0.436279,0.507271,0.004604,-0.066389
HMGB2,0.606766,0.551268,0.589532,-0.017234,-0.055498
HNRNPUL2,0.513534,0.451084,0.502624,-0.010910,-0.062449
HOOK3,0.132395,0.120141,0.126226,-0.006169,-0.012254
HPS6,0.186889,0.154358,0.182973,-0.003916,-0.032531
HSD17B1,0.021093,0.044561,0.034131,0.013037,0.023467
HSPA4,0.494243,0.429772,0.479421,-0.014822,-0.064471
HSPB1,0.384194,0.340576,0.383217,-0.000978,-0.043618
HSPB11,0.470029,0.434355,0.474817,0.004787,-0.035674
HYI,0.282023,0.267695,0.276794,-0.005229,-0.014328
IDH3G,0.364693,0.334127,0.369800,0.005107,-0.030565
IDUA,0.208607,0.191682,0.178892,-0.029715,-0.016925
IER5L,0.344072,0.307137,0.333725,-0.010347,-0.036935
IFI27,0.460544,0.413141,0.450373,-0.010171,-0.047403
IFI27L1,0.230433,0.203416,0.231681,0.001249,-0.027016
IFI44L,0.229080,0.247917,0.243317,0.014238,0.018837
IGFBP2,0.384947,0.319157,0.371882,-0.013065,-0.065791
IGFBP4,0.389252,0.332016,0.370507,-0.018745,-0.057236
IGHA1,0.255412,0.197973,0.259168,0.003757,-0.057438
IGHG3,0.201811,0.183353,0.216410,0.014599,-0.018458
IGHG4,0.090046,0.064348,0.144805,0.054760,-0.025698
IGHM,0.286531,0.224991,0.288952,0.002421,-0.061540
IGKC,0.105367,0.071911,0.074377,-0.030990,-0.033456
IGLC2,0.177131,0.070892,0.184809,0.007679,-0.106239
IGLC3,0.216934,0.208249,0.259066,0.042132,-0.008685
IGLC7,0.033619,0.007420,0.035943,0.002324,-0.026199
IKZF3,0.301830,0.270351,0.300899,-0.000931,-0.031480
IL10RA,0.452777,0.433289,0.468722,0.015945,-0.019489
ILKAP,0.259527,0.251638,0.251151,-0.008375,-0.007888
INAFM1,0.255394,0.220433,0.245980,-0.009413,-0.034961
INPP4B,0.390011,0.355439,0.387797,-0.002214,-0.034572
INPP5D,0.350732,0.305541,0.357988,0.007255,-0.045191
INPP5J,0.363326,0.345577,0.350938,-0.012388,-0.017749
INTS8,0.458117,0.417471,0.452807,-0.005310,-0.040646
ISG15,0.188882,0.207684,0.220280,0.031397,0.018802
ISLR,0.194393,0.115725,0.215471,0.021078,-0.078668
ITGA5,0.264792,0.233213,0.262493,-0.002299,-0.031579
ITGB4,0.160478,0.136469,0.182708,0.022230,-0.024009
ITGB6,0.235352,0.159906,0.225382,-0.009970,-0.075446
ITSN1,0.355213,0.321306,0.342945,-0.012268,-0.033907
JAG2,0.274117,0.232714,0.266813,-0.007304,-0.041403
JAK1,0.394392,0.362877,0.378375,-0.016017,-0.031514
JAK3,0.366795,0.323206,0.365588,-0.001207,-0.043589
JCHAIN,0.304728,0.176378,0.283132,-0.021596,-0.128350
JMJD6,0.367856,0.316065,0.363310,-0.004547,-0.051792
KAT6B,0.442239,0.406892,0.447557,0.005318,-0.035348
KATNA1,0.333118,0.316354,0.336949,0.003831,-0.016764
KCNAB2,0.331869,0.304102,0.348500,0.016631,-0.027766
KCTD10,0.428550,0.379607,0.418705,-0.009845,-0.048943
KDM4B,0.534930,0.489418,0.537280,0.002351,-0.045512
KIAA0895L,0.366105,0.324908,0.358098,-0.008007,-0.041197
KIAA1211L,0.216543,0.171618,0.220163,0.003620,-0.044925
KIAA1217,0.248973,0.223147,0.249246,0.000274,-0.025826
KIAA1468,0.382539,0.348989,0.388140,0.005601,-0.033550
KIAA1715,0.355631,0.305134,0.343103,-0.012528,-0.050497
KIF13B,0.200905,0.171436,0.220893,0.019987,-0.029469
KIF2C,0.379800,0.339915,0.380681,0.000881,-0.039885
KLF9,0.240513,0.202923,0.256864,0.016351,-0.037590
KMT2B,0.519486,0.454608,0.524635,0.005148,-0.064878
KMT2E,0.212332,0.212581,0.207650,-0.004682,0.000249
KPNB1,0.401069,0.366367,0.394734,-0.006334,-0.034702
KRAS,0.508092,0.457109,0.492096,-0.015997,-0.050984
KRT10,0.543636,0.478570,0.530838,-0.012797,-0.065065
KRT14,0.167443,0.090307,0.151418,-0.016026,-0.077137
KRT17,0.196220,0.133323,0.168244,-0.027976,-0.062897
KRT5,0.196603,0.080715,0.207956,0.011353,-0.115888
KRT8,0.506020,0.448926,0.497503,-0.008518,-0.057095
KRT86,0.183424,0.169700,0.178043,-0.005381,-0.013724
LAMB2,0.248474,0.193732,0.244397,-0.004077,-0.054742
LAMTOR2,0.468589,0.414352,0.467603,-0.000987,-0.054237
LANCL1,0.329241,0.321493,0.326668,-0.002573,-0.007748
LARP1B,0.302925,0.288851,0.304291,0.001366,-0.014074
LARP7,0.256349,0.234520,0.242300,-0.014049,-0.021830
LCK,0.356447,0.264643,0.350790,-0.005657,-0.091804
LCP1,0.514352,0.437973,0.510009,-0.004342,-0.076379
LGALS1,0.257977,0.237161,0.233709,-0.024268,-0.020816
LIMCH1,0.105283,0.082421,0.074400,-0.030884,-0.022862
LIMK1,0.376827,0.341816,0.379248,0.002421,-0.035011
LINC00176,0.436384,0.403669,0.429515,-0.006869,-0.032715
LINGO1,0.065032,0.091304,0.120761,0.055729,0.026272
LLGL1,0.198916,0.174707,0.191711,-0.007205,-0.024209
LMF1,0.186696,0.139891,0.177347,-0.009349,-0.046805
LMNA,0.150556,0.185829,0.170971,0.020415,0.035272
LRRC8A,0.379302,0.340546,0.381743,0.002441,-0.038755
LRWD1,0.324313,0.250629,0.299017,-0.025297,-0.073685
LST1,0.350302,0.308141,0.365309,0.015006,-0.042161
LTB4R,0.268591,0.232573,0.289211,0.020620,-0.036018
LTBP3,0.279944,0.223524,0.264915,-0.015029,-0.056420
LTF,0.231565,0.086848,0.225875,-0.005691,-0.144717
LUC7L,0.440029,0.387410,0.430341,-0.009688,-0.052619
LUC7L3,0.480348,0.437828,0.483378,0.003030,-0.042520
LUM,0.523369,0.483848,0.529106,0.005737,-0.039521
LYL1,0.283408,0.231180,0.293581,0.010173,-0.052227
MAGEF1,0.388151,0.317616,0.370529,-0.017622,-0.070535
MAGI1,0.105050,0.097527,0.123597,0.018547,-0.007523
MAGOHB,0.458181,0.402198,0.455074,-0.003108,-0.055983
MAP1S,0.363000,0.304886,0.357904,-0.005096,-0.058114
MAP3K14,0.264109,0.230659,0.289524,0.025414,-0.033451
MAP3K6,0.400426,0.349359,0.400293,-0.000133,-0.051067
MAP4K2,0.251633,0.220065,0.249163,-0.002469,-0.031567
MAPK9,0.390445,0.343438,0.411190,0.020745,-0.047007
MAPKAPK5,0.405619,0.360898,0.413675,0.008056,-0.044721
MAPT,0.389155,0.349822,0.379812,-0.009342,-0.039333
MARS,0.530103,0.485542,0.549138,0.019035,-0.044561
MAVS,0.387527,0.340452,0.382289,-0.005238,-0.047074
MCTS1,0.470260,0.414122,0.446714,-0.023546,-0.056138
MDM2,0.450862,0.407634,0.452498,0.001637,-0.043227
MED13L,0.404778,0.355597,0.393319,-0.011459,-0.049181
MED25,0.442972,0.412833,0.439633,-0.003339,-0.030139
MELK,0.362305,0.323717,0.365852,0.003547,-0.038588
MEN1,0.307510,0.274231,0.308716,0.001206,-0.033279
METTL12,0.271356,0.243689,0.265379,-0.005977,-0.027668
METTL16,0.317117,0.282735,0.286418,-0.030699,-0.034382
MFAP4,0.193362,0.043953,0.190356,-0.003007,-0.149409
MFSD3,0.195949,0.167234,0.175758,-0.020190,-0.028714
MFSD7,0.160372,0.133546,0.169818,0.009445,-0.026826
MGMT,0.103699,0.059997,0.116221,0.012522,-0.043702
MGP,0.326702,0.130612,0.300315,-0.026387,-0.196090
MIA,0.073569,0.036691,0.059614,-0.013955,-0.036877
MIB2,0.296006,0.251113,0.287454,-0.008552,-0.044893
MICAL1,0.420440,0.383952,0.423742,0.003303,-0.036488
MICALL2,0.384924,0.319254,0.385144,0.000220,-0.065670
MID1IP1,0.589816,0.531141,0.575997,-0.013818,-0.058675
MIF,0.235089,0.223666,0.222213,-0.012876,-0.011423
MIIP,0.382977,0.332972,0.383839,0.000862,-0.050005
MKI67,0.490056,0.432993,0.478597,-0.011459,-0.057064
MKNK1,0.417809,0.373241,0.413717,-0.004092,-0.044568
MLLT4,0.173906,0.151776,0.172351,-0.001555,-0.022130
MLPH,0.572985,0.519616,0.560405,-0.012581,-0.053369
MLST8,0.394635,0.364250,0.387804,-0.006831,-0.030386
MMP11,0.433831,0.375502,0.426815,-0.007016,-0.058329
MMP9,0.397397,0.339266,0.399667,0.002270,-0.058131
MORC2,0.399348,0.363711,0.404257,0.004909,-0.035637
MPND,0.313274,0.294026,0.317933,0.004659,-0.019248
MPST,0.394590,0.371541,0.389709,-0.004880,-0.023048
MRPL2,0.258327,0.253074,0.270551,0.012223,-0.005253
MRPL21,0.537668,0.492525,0.525496,-0.012172,-0.045143
MRPL23,0.283590,0.274398,0.279660,-0.003930,-0.009192
MRPL51,0.560599,0.512991,0.564177,0.003578,-0.047608
MRPL54,0.296602,0.249665,0.286289,-0.010313,-0.046937
MRPS22,0.383801,0.342285,0.387346,0.003544,-0.041517
MS4A6A,0.531838,0.466402,0.531117,-0.000720,-0.065436
MST1R,0.477536,0.418970,0.459401,-0.018135,-0.058566
MTG2,0.409839,0.364534,0.393814,-0.016025,-0.045305
MTMR12,0.309435,0.277455,0.311201,0.001766,-0.031979
MUC1,0.228512,0.228573,0.255092,0.026580,0.000061
MUCL1,0.423700,0.370120,0.409480,-0.014221,-0.053580
MUS81,0.464002,0.435329,0.462279,-0.001723,-0.028673
MVP,0.376522,0.347149,0.353008,-0.023515,-0.029374
MX2,0.324931,0.332836,0.315124,-0.009807,0.007904
MYBL2,0.379359,0.351857,0.383082,0.003723,-0.027502
MYC,0.523037,0.470141,0.515696,-0.007341,-0.052897
MYH10,0.161037,0.114093,0.167453,0.006415,-0.046944
MYL12B,0.638822,0.576332,0.641024,0.002202,-0.062489
MYL6B,0.271251,0.256553,0.248646,-0.022604,-0.014697
MYL9,0.270865,0.191284,0.231113,-0.039752,-0.079581
MYO1G,0.252992,0.235492,0.269261,0.016268,-0.017500
MYO9B,0.404942,0.354636,0.409965,0.005024,-0.050306
MZT2A,0.373086,0.337194,0.355861,-0.017225,-0.035891
NAA10,0.395669,0.358269,0.387542,-0.008127,-0.037400
NANS,0.414387,0.393662,0.420380,0.005993,-0.020725
NAT1,0.645501,0.577518,0.642107,-0.003394,-0.067983
NCKAP1L,0.335255,0.280339,0.327194,-0.008062,-0.054917
NCKAP5L,0.140001,0.089802,0.133861,-0.006139,-0.050199
NDC80,0.309246,0.293870,0.310189,0.000944,-0.015375
NDRG1,0.465226,0.398122,0.475490,0.010265,-0.067104
NDUFA1,0.549142,0.493236,0.538363,-0.010779,-0.055906
NDUFA12,0.538368,0.495374,0.556301,0.017933,-0.042994
NDUFB2,0.588110,0.549706,0.583622,-0.004488,-0.038404
NDUFB3,0.619576,0.540122,0.602895,-0.016681,-0.079454
NDUFB9,0.444299,0.411978,0.453851,0.009552,-0.032322
NDUFC1,0.504519,0.454990,0.493126,-0.011393,-0.049529
NDUFS1,0.505303,0.447052,0.511861,0.006558,-0.058251
NDUFV3,0.413585,0.367908,0.410637,-0.002949,-0.045677
NEBL,0.491948,0.437236,0.490864,-0.001084,-0.054712
NEK7,0.415653,0.388120,0.416848,0.001194,-0.027533
NELFE,0.350353,0.317749,0.352615,0.002262,-0.032604
NFATC4,0.330154,0.290391,0.333644,0.003490,-0.039763
NFIC,0.399829,0.353497,0.389327,-0.010502,-0.046331
NINJ1,0.459048,0.433778,0.451890,-0.007158,-0.025270
NIT2,0.494417,0.449666,0.500359,0.005942,-0.044751
NMRAL1,0.424778,0.390455,0.430193,0.005415,-0.034323
NR1H2,0.373803,0.337518,0.363442,-0.010360,-0.036285
NR4A1,0.485984,0.444841,0.469879,-0.016105,-0.041143
NRP1,0.447875,0.398180,0.428387,-0.019488,-0.049695
NSMCE1,0.416680,0.390474,0.418539,0.001859,-0.026206
NTMT1,0.215123,0.188651,0.195898,-0.019225,-0.026472
NUF2,0.413782,0.375844,0.405398,-0.008384,-0.037938
NUP214,0.374922,0.333358,0.364901,-0.010021,-0.041564
NUP93,0.436540,0.389764,0.429148,-0.007392,-0.046776
NXN,0.122135,0.090423,0.092945,-0.029189,-0.031712
OASL,0.330579,0.307534,0.327971,-0.002608,-0.023044
OGFRL1,0.352994,0.309188,0.351189,-0.001805,-0.043806
OPTN,0.357561,0.329362,0.354490,-0.003071,-0.028199
ORC2,0.291816,0.255133,0.290312,-0.001504,-0.036683
ORC6,0.337963,0.300159,0.329965,-0.007999,-0.037805
OSBPL8,0.264316,0.227478,0.250004,-0.014312,-0.036838
P4HA2,0.383334,0.349849,0.385268,0.001934,-0.033484
PAF1,0.266375,0.220103,0.265208,-0.001167,-0.046272
PAFAH1B3,0.399080,0.342081,0.378427,-0.020653,-0.057000
PAQR4,0.430144,0.391534,0.434871,0.004727,-0.038609
PARN,0.390851,0.353642,0.374646,-0.016205,-0.037209
PCCB,0.482001,0.441641,0.481924,-0.000077,-0.040360
PCIF1,0.403786,0.358356,0.394195,-0.009591,-0.045430
PDCD5,0.587593,0.525198,0.580086,-0.007507,-0.062395
PDGFRA,0.210703,0.171929,0.219630,0.008927,-0.038774
PDGFRB,0.346218,0.314605,0.358512,0.012295,-0.031613
PER1,0.399062,0.364726,0.376387,-0.022674,-0.034336
PEX11G,0.174469,0.115087,0.199238,0.024768,-0.059383
PEX14,0.272007,0.227829,0.289185,0.017178,-0.044178
