gene,arm1_colour_colour,arm2_colour_gray,arm3_gray_gray,delta_arm3_arm1,delta_arm2_arm1
RUVBL1,0.414759,0.389284,0.393260,-0.021499,-0.025476
S100A14,0.336448,0.298846,0.324180,-0.012268,-0.037602
S100A9,0.224939,0.199235,0.215444,-0.009495,-0.025705
SAMM50,0.394279,0.372644,0.381673,-0.012606,-0.021635
SASH1,0.062429,-0.023615,-0.001414,-0.063842,-0.086044
SAT1,0.504374,0.449917,0.500096,-0.004278,-0.054457
SCAF1,0.335823,0.286823,0.318734,-0.017089,-0.049000
SCD,0.620502,0.549129,0.606789,-0.013713,-0.071373
SCNN1D,0.279736,0.254351,0.289002,0.009267,-0.025385
SCX,0.315284,0.291989,0.322876,0.007592,-0.023295
SDHB,0.529405,0.480673,0.528416,-0.000989,-0.048731
SEC14L2,0.433570,0.382173,0.430087,-0.003483,-0.051397
SEC23A,0.390526,0.352228,0.389937,-0.000589,-0.038298
SEMA3B,0.432898,0.388264,0.430628,-0.002270,-0.044634
SEMA4B,0.392830,0.367551,0.373350,-0.019480,-0.025280
SF3B4,0.515921,0.458398,0.508092,-0.007830,-0.057523
SFRP1,0.144598,0.072640,0.108484,-0.036114,-0.071958
SFSWAP,0.390640,0.342845,0.386804,-0.003835,-0.047795
SGTA,0.401417,0.377010,0.399772,-0.001646,-0.024407
SH3BP5L,0.312101,0.267668,0.309482,-0.002619,-0.044433
SIGLEC1,0.329696,0.296430,0.339782,0.010086,-0.033265
SIGMAR1,0.424058,0.388358,0.415716,-0.008342,-0.035700
SLC16A2,0.012842,0.017244,0.074220,0.061378,0.004402
SLC16A3,0.418104,0.394358,0.406210,-0.011894,-0.023746
SLC22A18,0.337916,0.310185,0.325155,-0.012761,-0.027731
SLC25A24,0.428359,0.376521,0.421149,-0.007210,-0.051839
SLC2A1,0.443334,0.401786,0.445980,0.002646,-0.041548
SLC2A8,0.273952,0.238070,0.280020,0.006067,-0.035883
SLC35A2,0.408534,0.363693,0.414826,0.006292,-0.044841
SLC39A6,0.633282,0.568179,0.625467,-0.007816,-0.065103
SLC43A1,0.252434,0.240207,0.256242,0.003808,-0.012227
SLC4A5,0.350248,0.317757,0.344811,-0.005437,-0.032492
SLC8B1,0.387211,0.342490,0.392163,0.004952,-0.044721
SLC9A3R2,0.381520,0.339933,0.371830,-0.009691,-0.041588
SLC9A8,0.397580,0.339885,0.396004,-0.001576,-0.057694
SLFN13,0.136685,0.107942,0.129374,-0.007311,-0.028743
SLPI,0.229616,0.110996,0.245827,0.016210,-0.118620
SMCHD1,0.480428,0.429425,0.481188,0.000760,-0.051003
SMG9,0.450114,0.410527,0.446448,-0.003666,-0.039587
SMYD2,0.332720,0.309786,0.321290,-0.011431,-0.022934
SNAPC3,0.339830,0.273262,0.327291,-0.012539,-0.066568
SNF8,0.330876,0.299754,0.310213,-0.020663,-0.031122
SNRPD3,0.494067,0.451927,0.479776,-0.014291,-0.042141
SNTA1,0.336624,0.306664,0.355272,0.018648,-0.029960
SNX33,0.233891,0.192127,0.200689,-0.033203,-0.041765
SNX8,0.333066,0.287773,0.336215,0.003149,-0.045293
SOD3,0.291126,0.276540,0.282491,-0.008635,-0.014587
SOS2,0.288177,0.257378,0.271668,-0.016509,-0.030799
SOX4,0.267679,0.223491,0.273492,0.005813,-0.044188
SP6,0.155550,0.095785,0.130507,-0.025043,-0.059765
SPAG9,0.401095,0.352875,0.390399,-0.010696,-0.048220
SPARC,0.482476,0.445186,0.492080,0.009604,-0.037289
SPIN1,0.390797,0.333919,0.386302,-0.004495,-0.056878
SPSB1,0.366746,0.320448,0.363590,-0.003156,-0.046298
SRGN,0.652113,0.571989,0.651026,-0.001087,-0.080124
SRPX2,0.171962,0.134070,0.177461,0.005498,-0.037893
SRR,0.309023,0.280202,0.303372,-0.005651,-0.028821
SRRT,0.503310,0.460067,0.499273,-0.004037,-0.043242
SRSF1,0.615228,0.548584,0.608216,-0.007012,-0.066644
SRSF5,0.572601,0.513248,0.565153,-0.007448,-0.059354
SSSCA1,0.342384,0.325826,0.360555,0.018171,-0.016558
STAMBP,0.447891,0.399037,0.440650,-0.007241,-0.048855
STAT5A,0.297824,0.271140,0.298677,0.000853,-0.026684
STK17A,0.409797,0.359204,0.410570,0.000773,-0.050593
STK4,0.427419,0.375075,0.433631,0.006212,-0.052344
STMN1,0.604257,0.525086,0.599104,-0.005153,-0.079171
STRN3,0.354832,0.336328,0.366929,0.012097,-0.018504
STT3A,0.396799,0.369518,0.410571,0.013771,-0.027281
SUGP1,0.276388,0.221732,0.267544,-0.008844,-0.054656
SURF1,0.284604,0.241234,0.270467,-0.014137,-0.043369
